"Product Name"," Item SKU ","Variation ID"," Product Status ","Qty ","Variant","Product Image"
"Fairy Tale Scarf","10011010141230","14996881899812","warehouse","1","mocha","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/Ne7uWHrTypOByWGQEnxd7CElg3Tarwdo09f3WdYI_ee28483c-a8a7-4780-b95c-c4a8b9c8288b.jpg?v=1706297443"
"Comfy Shirt","16499453608500","14997010219300","warehouse","1","Yellow / Free Size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/7_1592e274-f9f8-4dcb-aa15-3ddf55660a88.jpg?v=1712332848"
"Wrap Linen Set","57499868616300","14997027717412","warehouse","1","LimeGreen","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/57499868616300.jpg?v=1720442216"
"Printed Satin Set","8","14997027750180","warehouse","1","2 / L/XL","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_112888c1-4483-47cc-9d59-d68de35f87cc.jpg?v=1720439402"
"Everyday Linen Pants","14499555421740","14997051212068","warehouse","1","Black / L/XL","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/3_4b5b1d1b-71de-41b1-bdaa-6e0fa277d9d5.jpg?v=1717074375"
"Everyday Linen Satin Scarf","10011030971082","14997065204004","warehouse","1","CherryRed","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/13_d8cbc98b-cf65-4073-8968-26b95821e7c5.jpg?v=1718287606"
"Sleeveless Breathable Top","17499464221740","14997152104740","warehouse","1","Black / L/XL","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/3_87433ef8-a486-454f-a12d-2e32d0dbb3e4.jpg?v=1719150425"
"Printed Satin Kimono","16499666762100","14997190377764","warehouse","1","1 / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/7_5b4cdda4-008b-4b67-b8c9-fbebc66a0ddc.jpg?v=1718103400"
"Modal Cotton Scarf","10011030957217","14999806017828","warehouse","1","Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/4n6mCLiNRnBimGA1ljuLDUEwuPP9249CQr7zzT4V_b0ba194f-9f8a-46ed-9044-19ba7575be70.jpg?v=1706297480"
"Cotton Kuwaiti Underscarf without Tie-Back","10022323722900","15001632801060","warehouse","1","GreyPink","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_08b6f74d-ceff-408f-9868-d968dbfbfef5.jpg?v=1713083057"
"Plain Cotton Lycra Scarf","10011030951203","14995250872612","warehouse","1","Mauve","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/3_5e1dadb5-4e33-452c-a56d-db5e35b7be54.jpg?v=1719501525"
"Healthy Hair Underscarf","10022323821700","14995250938148","warehouse","1","Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/Fx1OTQ3Shrx3uzKVr4kq51Y4E1jlNaMdmIrWYiab_f0f23eb5-31bd-481a-a8f2-8a5638a501c4.jpg?v=1706791911"
"Swim/Sports Hijab","10022424521700","15004623601956","warehouse","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/pbgAlZCRT1i6gw9p42sjmL5T7tUoqWBhdKmKnwjG.jpg?v=1711196519"
"Body Sleeveless Round Neck","10033434400130","15003439169828","warehouse","1","Medium / White","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/zb8BQauCPFVCkxapeWvcNOD5nkr9mJ9NUrw79rTF_514d4fd0-357f-43b0-b1e2-0308c97df8aa.jpg?v=1706294182"
"Chemise Sleeves Basic Undershirt","10033030000260","15003826585892","warehouse","1","2XL / OffWhite","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/4_7836ea87-c7d3-4c5b-b25c-dba943fb6f06.jpg?v=1716821094"
"Chemise Sleeves Basic Undershirt","10033030021750","15003881013540","warehouse","1","XLarge / Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/3_3243012f-98c8-4434-9fa7-dacb884e2090.jpg?v=1716821097"
"Yura Basic Dress","57499262112400","15003954118948","warehouse","1","Grey / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/6_a601f4b5-94fa-4866-a0ac-70c147fe7a31.jpg?v=1717081343"
"Oversized Shirt","22499359304400","15004105965860","warehouse","1","Fuschia / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/3_4b9f50ab-a34e-4375-a0bb-a97af20be40a.jpg?v=1717963812"
"Puffy Poplin Chemise","57499760108500","15004105998628","warehouse","1","Yellow / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/5_6b1c1491-f8fa-4573-a8b8-0da4dd7096f9.jpg?v=1720084581"
"Gradient Cotton Scarf","60011010313120","15004106031396","warehouse","1","48","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/6pWwNf5Zfv2vpd0HFtRAsKqHAYUz19l4C0jd6Cg0_e0e9ce26-e997-4216-8c69-9c6d10c4dde8.jpg?v=1706296324"
"Gradient Cotton Scarf","60011010313139","15004106064164","warehouse","1","63","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/8okrH9hx10Vvt8mZZow4RGo4NkAPWrZVl0zAmp0m_61fc917a-c02e-4dc9-99d1-473d0269c104.png?v=1706296325"
"Gradient Cotton Scarf","60011010212170","15004106096932","warehouse","1","55","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/SOizZ7lpurF6EoJ18qqWbjSJfstPVKED0BGkofoi_e7bd03a8-b090-423c-9fc7-0a30cd663c6a.jpg?v=1706296324"
"Rock Stone Scarf","60011011131004","15004106129700","warehouse","1","9","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/89Vaxc0U1e3w9wSHBou52D9yDP6BJGrLYFYwSZ5V_4f28a6ab-d163-482d-aed1-99fd925f7419.jpg?v=1706296351"
"Light Gradient Cotton Scarf","60011010212122","15004106162468","warehouse","1","6","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/RqE7pIkWe6r4TvzkDc9zZeYV1rta3DjQH0Eyl8Lk_ce6433ad-3e18-49f3-830e-3c5f17d2a049.jpg?v=1707221771"
"Light Gradient Cotton Scarf","60011010212173","15004106195236","warehouse","1","1","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/UREoYgp4Q1EvXRjttatinBLSDie56k4zCwTQMKL8_9e041506-3b3f-46ce-b02a-587ffa6518c7.jpg?v=1706296281"
"Printed Gradient Scarf","60011010313004","15004106228004","warehouse","1","18","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/lO0TmwYgBk3Yew7UKXL3R6eedD0PXNGwACDBv0VT_86e2d3a5-af18-497e-91d5-36e0d73b8622.jpg?v=1706296191"
"Cozy Cotton  Scarf","10011030950002","15004106260772","warehouse","1","OffWhite","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/GCug7Gy3C526bfipu6SWv1VaHDJV5KQAD9Ch5cRU_fc006326-734c-4728-9d66-4a59c9d119e0.jpg?v=1706297409"
